127.0.0.1 - - [06/Jul/2020:09:48:51 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Jul/2020:09:48:55 +0900] "GET /0702_jsp/ex11_pagecontext.jsp HTTP/1.1" 200 208
0:0:0:0:0:0:0:1 - - [06/Jul/2020:09:48:55 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [06/Jul/2020:09:55:19 +0900] "GET /0702_jsp/ex12_request.jsp HTTP/1.1" 200 200
0:0:0:0:0:0:0:1 - - [06/Jul/2020:09:56:33 +0900] "GET /0702_jsp/ex12_request.jsp HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:05:29 +0900] "GET /0702_jsp/ex12_request.jsp HTTP/1.1" 200 322
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:08:07 +0900] "GET /0702_jsp/ex12_request.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:08:07 +0900] "GET /0702_jsp/ex13_request.jsp HTTP/1.1" 200 316
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:08:37 +0900] "GET /0702_jsp/ex13_request.jsp HTTP/1.1" 200 324
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:15:40 +0900] "GET /0702_jsp/ex14_session.jsp HTTP/1.1" 200 299
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:20:07 +0900] "GET /0702_jsp/ex14_session.jsp HTTP/1.1" 500 2439
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:21:04 +0900] "GET /0702_jsp/ex14_session.jsp HTTP/1.1" 200 312
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:21:44 +0900] "GET /0702_jsp/ex14_session.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:21:44 +0900] "GET /0702_jsp/ex15_session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:47:10 +0900] "GET /0702_jsp/ex15_session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:47:11 +0900] "GET /0702_jsp/ex15_session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:47:21 +0900] "GET /0702_jsp/ex14_session.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:47:21 +0900] "GET /0702_jsp/ex15_session.jsp HTTP/1.1" 200 306
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:51:23 +0900] "GET /0702_jsp/ex16_application.jsp HTTP/1.1" 200 352
0:0:0:0:0:0:0:1 - - [06/Jul/2020:10:52:48 +0900] "GET /0702_jsp/ex16_application.jsp HTTP/1.1" 200 363
